"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","26","","","","0"
"2023","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","24","","","","0"
"2007","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","8","","","","0"
"2008","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","16","","","","0"
"2009","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","30","E","","","0"
"2012","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","","F","","","0"
"2013","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","33","","","","0"
"2014","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","32","","","","0"
"2015","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","","F","","","0"
"2016","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","38","E","","","0"
"2017","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","36","","","","0"
"2018","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","33","","","","0"
"2019","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","32","","","","0"
"2020","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","18","","","","0"
"2021","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","24","","","","0"
"2022","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","26","","","","0"
"2023","Saskatchewan","2016A000247","Area harvested (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152585","12.8.22","24","","","","0"
"2007","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","136","","","","0"
"2008","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","","x","","","0"
"2009","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","662","","","","0"
"2012","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","436","","","","0"
"2013","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","540","","","","0"
"2014","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","532","","","","0"
"2015","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","388","","","","0"
"2016","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","439","","","","0"
"2017","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","482","","","","0"
"2018","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","362","","","","0"
"2019","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","540","","","","0"
"2020","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","348","","","","0"
"2021","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","309","","","","0"
"2022","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","309","","","","0"
"2023","Saskatchewan","2016A000247","Total production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152614","12.9.22","316","","","","0"
"2007","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","136","","","","0"
"2008","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","","x","","","0"
"2009","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","662","","","","0"
"2012","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","436","","","","0"
"2013","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","540","","","","0"
"2014","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","532","","","","0"
"2015","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","388","","","","0"
"2016","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","439","","","","0"
"2017","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","482","","","","0"
"2018","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","343","","","","0"
"2019","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","342","","","","0"
"2020","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","348","","","","0"
"2021","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","308","","","","0"
"2022","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","307","","","","0"
"2023","Saskatchewan","2016A000247","Marketed production (metric tonnes)","Fresh pumpkins [114221551]","Metric tonnes","214","units","0","v52152643","12.10.22","313","","","","0"
"2007","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","16800","","","t","0"
"2008","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","x","","t","0"
"2009","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","F","","t","0"
"2010","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","F","","t","0"
"2011","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","x","","t","0"
"2012","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","F","","t","0"
"2013","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","16400","","","t","0"
"2014","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","F","","t","0"
"2015","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","","F","","t","0"
"2016","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","11600","E","","t","0"
"2017","Saskatchewan","2016A000247","Average yield per hectare (kilograms)","Fresh pumpkins [114221551]","Kilograms","192","units","0","v52152672","12.11.22","13400","","","t","0"


